condition_id,domain,volatility,freshness_window,source_config,n_records,precision_at_5_mean,precision_at_5_std,precision_at_5_n,ndcg_at_5_mean,ndcg_at_5_std,ndcg_at_5_n,bertscore_f1_mean,bertscore_f1_std,bertscore_f1_n,hallucination_rate_mean,hallucination_rate_std,hallucination_rate_n,human_eval_score_mean,human_eval_score_std,human_eval_score_n,rouge_l_mean,rouge_l_std,rouge_l_n,meteor_mean,meteor_std,meteor_n,source_attribution_mean,source_attribution_std,source_attribution_n,processing_latency_ms_mean,processing_latency_ms_std,processing_latency_ms_n,freshness_score_mean,freshness_score_std,freshness_score_n,source_diversity_index_mean,source_diversity_index_std,source_diversity_index_n
C1,technology,high,<= 1 week,Academic only,200,0.121,0.166426,200,0.374799,0.447983,200,0.116284,0.092583,200,0.43,0.496318,200,3.02599,0.653911,101,0.116284,0.092583,200,0.20841,0.256334,200,0.061,0.216131,200,4360.20635,7639.771497,200,0.988045,0.002432,200,0.0,0.0,200
C2,technology,high,<= 1 week,Academic + News,200,0.144,0.183938,200,0.423289,0.455336,200,0.119136,0.093378,200,0.44,0.497633,200,3.022059,0.689474,102,0.119136,0.093378,200,0.215233,0.255009,200,0.055,0.204411,200,3923.69895,1665.416996,200,0.987235,0.002827,200,0.198039,0.353451,200
C3,technology,high,<= 1 week,Acad + News + Tech,200,0.144,0.183938,200,0.423289,0.455336,200,0.118449,0.093228,200,0.435,0.497001,200,3.125,0.765057,101,0.118449,0.093228,200,0.215394,0.25807,200,0.058,0.207972,200,4517.5441,8923.208502,200,0.987235,0.002827,200,0.198039,0.353451,200
C4,technology,high,1 wk - 1 mo,Academic only,200,0.206,0.229406,200,0.544986,0.468156,200,0.123665,0.094813,200,0.49,0.501154,200,3.1025,0.698207,100,0.123665,0.094813,200,0.299429,0.387463,200,0.05,0.218492,200,4967.90355,9972.638099,200,0.848217,0.004866,200,0.0,0.0,200
C5,technology,high,1 wk - 1 mo,Academic + News,200,0.272,0.269777,200,0.610751,0.452358,200,0.130859,0.096673,200,0.53,0.500352,200,3.435049,0.89928,102,0.130859,0.096673,200,0.325747,0.387396,200,0.046,0.205169,200,264625.70505,3693218.984339,200,0.854189,0.01246,200,0.242726,0.377379,200
C6,technology,high,1 wk - 1 mo,Acad + News + Tech,200,0.491,0.361347,200,0.784498,0.373561,200,0.156557,0.121236,200,0.565,0.497001,200,3.72401,0.877909,101,0.156557,0.121236,200,0.482645,0.497025,200,0.042,0.176612,200,3986.5409,1680.958103,200,0.866804,0.016554,200,0.351521,0.469317,200
C7,healthcare,medium,1-6 months,Academic only,200,0.404,0.308643,200,0.758628,0.378764,200,0.13074,0.104886,200,0.605,0.490077,200,3.454327,0.892773,104,0.13074,0.104886,200,0.384754,0.40646,200,0.055,0.228552,200,5119.71505,7783.173753,200,0.761666,0.058721,200,0.0,0.0,200
C8,healthcare,medium,1-6 months,Academic + News,200,0.404,0.308643,200,0.758628,0.378764,200,0.132055,0.105636,200,0.605,0.490077,200,3.420792,0.935201,101,0.132055,0.105636,200,0.376361,0.400537,200,0.06,0.238083,200,4970.67315,7788.068907,200,0.761666,0.058721,200,0.0,0.0,200
C9,healthcare,medium,6-12 months,Acad + News + Tech,85,0.338824,0.347814,85,0.544367,0.439862,85,0.03319,0.067208,85,0.317647,0.468324,85,3.023529,0.893406,85,0.03319,0.067208,85,0.08575,0.232134,85,0.044706,0.178289,85,3874.973294,6922.550004,85,0.304556,0.073389,85,0.652947,0.438857,85
C10,history,low,>= 6 mo (adj.),Academic only,200,0.428,0.333123,200,0.736042,0.387325,200,0.134433,0.103349,200,0.545,0.49922,200,3.345297,0.84745,101,0.134433,0.103349,200,0.354999,0.408082,200,0.123,0.309759,200,5668.03345,10773.837578,200,0.954396,0.118495,200,0.0,0.0,200
C11,history,low,>= 6 mo (adj.),Acad + Archival,200,0.588,0.293062,200,0.923303,0.189147,200,0.161875,0.129692,200,0.68,0.467647,200,3.92625,0.896665,100,0.161875,0.129692,200,0.576329,0.516322,200,0.166,0.364842,200,4858.9223,6652.971827,200,0.963407,0.087791,200,0.592633,0.40707,200
C12,history,low,>= 6 mo (adj.),Acad + Arch + Ref,200,0.588,0.293062,200,0.923303,0.189147,200,0.16141,0.129454,200,0.675,0.46955,200,3.843137,0.856449,102,0.16141,0.129454,200,0.568939,0.507677,200,0.166,0.367039,200,5432.7847,10959.733331,200,0.963407,0.087791,200,0.592633,0.40707,200
